2026-05-27 12:32:43 | INFO     | Precio: 0.00 | Estado: READY | Score: 68
2026-05-27 12:32:43 | INFO     | Precio: 0.00 | Estado: READY | Score: 68
2026-05-27 12:32:43 | INFO     | Precio: 0.00 | Estado: READY | Score: 68
2026-05-27 12:32:43 | INFO     | Precio: 0.00 | Estado: READY | Score: 68
2026-05-27 12:32:43 | INFO     | Precio: 0.00 | Estado: READY | Score: 68
2026-05-27 12:32:43 | INFO     | Precio: 0.00 | Estado: READY | Score: 68
2026-05-27 12:32:43 | INFO     | Precio: 0.00 | Estado: READY | Score: 68
2026-05-27 12:32:43 | INFO     | Precio: 0.00 | Estado: READY | Score: 68
2026-05-27 12:32:43 | INFO     | Precio: 0.00 | Estado: READY | Score: 68
2026-05-27 12:32:43 | INFO     | Precio: 0.00 | Estado: READY | Score: 68
2026-05-27 12:32:43 | INFO     | Precio: 0.00 | Estado: READY | Score: 68
2026-05-27 12:32:43 | INFO     | Precio: 0.00 | Estado: READY | Score: 68
2026-05-27 12:32:43 | INFO     | Precio: 0.00 | Estado: READY | Score: 68
2026-05-27 12:32:43 | INFO     | Precio: 0.00 | Estado: READY | Score: 68
2026-05-27 12:32:43 | INFO     | Precio: 0.00 | Estado: READY | Score: 68
2026-05-27 12:32:43 | INFO     | Precio: 0.00 | Estado: READY | Score: 75
2026-05-27 12:32:43 | INFO     | Precio: 0.00 | Estado: READY | Score: 68
2026-05-27 12:32:43 | INFO     | Precio: 0.00 | Estado: READY | Score: 68
2026-05-27 12:32:43 | INFO     | Precio: 0.00 | Estado: READY | Score: 68
2026-05-27 12:32:43 | INFO     | Precio: 0.00 | Estado: READY | Score: 68
2026-05-27 12:32:43 | INFO     | Precio: 0.00 | Estado: READY | Score: 68
2026-05-27 12:32:43 | INFO     | Precio: 0.00 | Estado: READY | Score: 68
2026-05-27 12:32:43 | INFO     | Precio: 0.00 | Estado: READY | Score: 68
2026-05-27 12:32:43 | INFO     | Precio: 0.00 | Estado: READY | Score: 68
2026-05-27 12:32:43 | INFO     | Precio: 0.00 | Estado: READY | Score: 67
2026-05-27 12:32:43 | INFO     | Precio: 0.00 | Estado: READY | Score: 67
2026-05-27 12:32:43 | INFO     | Precio: 0.00 | Estado: READY | Score: 60
2026-05-27 12:32:43 | INFO     | Precio: 0.00 | Estado: READY | Score: 60
2026-05-27 12:32:43 | INFO     | Precio: 0.00 | Estado: READY | Score: 60
2026-05-27 12:32:43 | INFO     | Precio: 0.00 | Estado: READY | Score: 67
2026-05-27 12:32:43 | INFO     | Precio: 0.00 | Estado: INVALID | Score: 50
2026-05-27 12:32:43 | INFO     | Precio: 0.00 | Estado: INVALID | Score: 50
2026-05-27 12:32:43 | INFO     | Precio: 0.00 | Estado: INVALID | Score: 50
2026-05-27 12:32:43 | INFO     | Precio: 0.00 | Estado: READY | Score: 60
2026-05-27 12:32:43 | INFO     | Precio: 0.00 | Estado: READY | Score: 60
2026-05-27 12:32:43 | INFO     | Precio: 0.00 | Estado: READY | Score: 60
2026-05-27 12:32:43 | INFO     | Precio: 0.00 | Estado: READY | Score: 60
2026-05-27 12:32:43 | INFO     | Precio: 0.00 | Estado: READY | Score: 60
2026-05-27 12:32:44 | INFO     | Precio: 0.00 | Estado: READY | Score: 60
2026-05-27 12:32:44 | INFO     | Precio: 0.00 | Estado: READY | Score: 60
2026-05-27 12:32:44 | INFO     | Precio: 0.00 | Estado: READY | Score: 60
2026-05-27 12:32:44 | INFO     | Precio: 0.00 | Estado: READY | Score: 64
2026-05-27 12:32:44 | INFO     | Precio: 0.00 | Estado: INVALID | Score: 52
2026-05-27 12:32:44 | INFO     | Precio: 0.00 | Estado: INVALID | Score: 55
2026-05-27 12:32:44 | INFO     | Precio: 0.00 | Estado: INVALID | Score: 48
2026-05-27 12:32:44 | INFO     | Precio: 0.00 | Estado: READY | Score: 64
2026-05-27 12:32:44 | INFO     | Precio: 0.00 | Estado: READY | Score: 60
2026-05-27 12:32:44 | INFO     | Precio: 0.00 | Estado: READY | Score: 60
2026-05-27 12:32:44 | INFO     | Precio: 0.00 | Estado: INVALID | Score: 55
2026-05-27 12:32:44 | INFO     | Precio: 0.00 | Estado: INVALID | Score: 48
2026-05-27 12:32:44 | INFO     | Precio: 0.00 | Estado: INVALID | Score: 55
2026-05-27 12:32:44 | INFO     | Precio: 0.00 | Estado: READY | Score: 60
2026-05-27 12:32:44 | INFO     | Precio: 0.00 | Estado: READY | Score: 60
2026-05-27 12:32:44 | INFO     | Precio: 0.00 | Estado: READY | Score: 60
2026-05-27 12:32:44 | INFO     | Precio: 0.00 | Estado: READY | Score: 60
2026-05-27 12:32:44 | INFO     | Precio: 0.00 | Estado: READY | Score: 60
2026-05-27 12:32:44 | INFO     | Precio: 0.00 | Estado: READY | Score: 60
2026-05-27 12:32:44 | INFO     | Precio: 0.00 | Estado: READY | Score: 60
2026-05-27 12:32:44 | INFO     | Precio: 0.00 | Estado: READY | Score: 60
2026-05-27 12:32:44 | INFO     | Precio: 0.00 | Estado: READY | Score: 60
2026-05-27 12:32:44 | INFO     | Precio: 0.00 | Estado: READY | Score: 65
2026-05-27 12:32:44 | INFO     | Precio: 0.00 | Estado: READY | Score: 65
2026-05-27 12:32:44 | INFO     | Precio: 0.00 | Estado: READY | Score: 65
2026-05-27 12:32:44 | INFO     | Precio: 0.00 | Estado: INVALID | Score: 43
2026-05-27 12:32:44 | INFO     | Precio: 0.00 | Estado: INVALID | Score: 43
2026-05-27 12:32:44 | INFO     | Precio: 0.00 | Estado: INVALID | Score: 43
2026-05-27 12:32:44 | INFO     | Precio: 0.00 | Estado: INVALID | Score: 43
2026-05-27 12:32:44 | INFO     | Precio: 0.00 | Estado: INVALID | Score: 47
2026-05-27 12:32:44 | INFO     | Precio: 0.00 | Estado: INVALID | Score: 50
2026-05-27 12:32:44 | INFO     | Precio: 0.00 | Estado: INVALID | Score: 43
2026-05-27 12:32:44 | INFO     | Precio: 0.00 | Estado: INVALID | Score: 43
2026-05-27 12:32:44 | INFO     | Precio: 0.00 | Estado: INVALID | Score: 43
2026-05-27 12:32:44 | INFO     | Precio: 0.00 | Estado: INVALID | Score: 47
2026-05-27 12:32:44 | INFO     | Precio: 0.00 | Estado: INVALID | Score: 40
2026-05-27 12:32:44 | INFO     | Precio: 0.00 | Estado: INVALID | Score: 40
2026-05-27 12:32:44 | INFO     | Precio: 0.00 | Estado: INVALID | Score: 44
2026-05-27 12:32:44 | INFO     | Precio: 0.00 | Estado: INVALID | Score: 40
2026-05-27 12:32:44 | INFO     | Precio: 0.00 | Estado: INVALID | Score: 40
2026-05-27 12:32:44 | INFO     | Precio: 0.00 | Estado: INVALID | Score: 40
2026-05-27 12:32:44 | INFO     | Precio: 0.00 | Estado: INVALID | Score: 40
2026-05-27 12:32:44 | INFO     | Precio: 0.00 | Estado: INVALID | Score: 40
2026-05-27 12:32:44 | INFO     | Precio: 0.00 | Estado: INVALID | Score: 44
2026-05-27 12:32:44 | INFO     | Precio: 0.00 | Estado: INVALID | Score: 40
2026-05-27 12:32:44 | INFO     | Precio: 0.00 | Estado: INVALID | Score: 40
2026-05-27 12:32:44 | INFO     | Precio: 0.00 | Estado: INVALID | Score: 44
2026-05-27 12:32:44 | INFO     | Precio: 0.00 | Estado: INVALID | Score: 44
2026-05-27 12:32:44 | INFO     | Precio: 0.00 | Estado: INVALID | Score: 37
2026-05-27 12:32:44 | INFO     | Precio: 0.00 | Estado: INVALID | Score: 44
2026-05-27 12:32:44 | INFO     | Precio: 0.00 | Estado: INVALID | Score: 37
2026-05-27 12:32:44 | INFO     | Precio: 0.00 | Estado: INVALID | Score: 37
2026-05-27 12:32:44 | INFO     | Precio: 0.00 | Estado: INVALID | Score: 37
2026-05-27 12:32:44 | INFO     | Precio: 0.00 | Estado: INVALID | Score: 37
2026-05-27 12:32:44 | INFO     | Precio: 0.00 | Estado: INVALID | Score: 37
2026-05-27 12:32:44 | INFO     | Precio: 0.00 | Estado: INVALID | Score: 37
2026-05-27 12:32:44 | INFO     | Precio: 0.00 | Estado: INVALID | Score: 37
