entry,exit,dir,entry_p,exit_p,pnl,regime,strategy,reason
2026-02-04 15:00:00+00:00,2026-02-05 15:00:00+00:00,-1,2147.880776857143,2001.3084332982285,207.90513791993408,RUPTURA,breakout,timeout
2026-02-05 11:00:00+00:00,2026-02-06 11:00:00+00:00,-1,2075.0244325714284,1934.4145763150857,176.288544957071,TENDENCIA_BAJISTA,trend,timeout
2026-02-08 08:00:00+00:00,2026-02-09 08:00:00+00:00,1,2118.5566345714287,2064.442860101657,-117.11454642779681,TENDENCIA_ALCISTA,trend,timeout
2026-02-09 07:00:00+00:00,2026-02-09 07:15:00+00:00,1,2069.0000765714285,2099.759271413257,82.32859506943892,RANGO,range,sl
2026-02-10 06:00:00+00:00,2026-02-11 06:00:00+00:00,-1,2005.2653134285715,1956.773981634114,65.70431520010153,RUPTURA,breakout,timeout
2026-02-11 15:00:00+00:00,2026-02-12 15:00:00+00:00,-1,1926.337750857143,1970.4116246930284,-112.3410492135713,RUPTURA,breakout,timeout
2026-02-13 09:00:00+00:00,2026-02-13 09:15:00+00:00,-1,1959.8725285714286,1926.8470459342857,89.53782428455273,RANGO,range,sl
2026-02-15 19:00:00+00:00,2026-02-16 19:00:00+00:00,-1,1939.2306254285716,1974.608774696514,-83.79098935283392,RUPTURA,breakout,timeout
2026-02-16 22:00:00+00:00,2026-02-16 22:15:00+00:00,-1,1987.141962,1967.5274283924,73.71088830328729,RANGO,range,sl
2026-02-17 11:00:00+00:00,2026-02-17 11:15:00+00:00,1,1970.463836857143,1988.885764375486,79.37663469249883,RANGO,range,sl
2026-02-18 03:00:00+00:00,2026-02-18 03:15:00+00:00,-1,1994.310086,1971.4393620172,80.18190032860137,RANGO,range,sl
2026-02-19 07:00:00+00:00,2026-02-19 07:15:00+00:00,-1,1979.8627194285714,1964.6669011153144,76.4460120976717,RANGO,range,sl
2026-02-19 23:00:00+00:00,2026-02-19 23:15:00+00:00,-1,1946.5781839999997,1919.0913156368,86.9470940771163,RANGO,range,sl
2026-02-20 12:00:00+00:00,2026-02-20 12:15:00+00:00,1,1951.630321142857,1972.0493167929144,85.54174132846687,RANGO,range,sl
2026-02-21 01:00:00+00:00,2026-02-21 01:15:00+00:00,1,1968.3703908571429,1973.1391830646858,34.788458126182775,RANGO,range,sl
2026-02-21 15:00:00+00:00,2026-02-21 15:15:00+00:00,-1,1986.869374,1970.3503738748,86.00469426144005,RANGO,range,sl
