symbol,entry_time,direction,entry_signal,entry_real,sl_original,tp1,contracts,pnl_neto,exit_events,exit_type,explanation,score
ETHUSDT,2026-05-06T00:00:00+00:00,bullish,2363.68,2364.152736,2349.63132,2388.9676239999994,0.11231597339308645,-0.2655,"['be_50%@13846', {'type': 'sl_full', 'contracts': np.float64(0.11231597339308645), 'price': np.float64(2364.152736), 'pnl': np.float64(0.0), 'comm': np.float64(0.13276605789688425)}]",full_sl,Fib=0.75-1.0 Sig=LONG Phase=compressing CI=48.14465838784521 WR=-47.33009708737969 ST=bearish Veto=False,100
ETHUSDT,2026-05-06T01:00:00+00:00,bullish,2366.85,2367.32337,2350.29,2396.658,0.09504276493665885,1.447,"['be_50%@13926', {'type': 'tp1', 'contracts': np.float64(0.05702565896199531), 'price': np.float64(2396.658), 'pnl': np.float64(1.672826606156307), 'comm': np.float64(0.06833550087826888)}, {'type': 'sl_rem', 'contracts': np.float64(0.03801710597466354), 'price': np.float64(2367.32337), 'pnl': np.float64(0.0), 'comm': np.float64(0.04499939171679382)}]",tp1_partial_then_sl,Fib=0.75-1.0 Sig=LONG Phase=compressing CI=58.90286090369567 WR=-6.839622641508684 ST=bearish Veto=False,100
ETHUSDT,2026-06-14T07:00:00+00:00,bearish,1676.17,1675.834766,1685.865,1658.7190000000003,0.08229051500077951,0.7076,"['be_50%@25207', {'type': 'tp1', 'contracts': np.float64(0.04937430900046771), 'price': np.float64(1658.7190000000003), 'pnl': np.float64(0.845079119263694), 'comm': np.float64(0.040949052225473404)}, {'type': 'sl_rem', 'contracts': np.float64(0.0329162060003118), 'price': np.float64(1675.8347660000002), 'pnl': np.float64(0.0), 'comm': np.float64(0.027581061190070165)}]",tp1_partial_then_sl,Fib=0.0-0.25 Sig=SHORT Phase=compressing CI=56.94585537558068 WR=-87.9166666666651 ST=bearish Veto=False,100
SOLUSDT,2026-03-24T12:00:00+00:00,bearish,91.66,91.641668,92.40444,90.17112,1.4384208542960297,2.831,"['be_50%@1603', {'type': 'tp1', 'contracts': np.float64(0.8630525125776178), 'price': np.float64(90.17112), 'pnl': np.float64(1.2691601462659854), 'comm': np.float64(0.03891120583896895)}, {'type': 'tp2', 'contracts': np.float64(0.5753683417184119), 'price': np.float64(88.70057200000001), 'pnl': np.float64(1.6922135283546471), 'comm': np.float64(0.025517750510557304)}]",tp2_reached,Fib=0.75-1.0 Sig=SHORT Phase=compressing CI=63.90156570854381 WR=-62.96296296296342 ST=bullish Veto=False,85
SOLUSDT,2026-03-29T12:00:00+00:00,bearish,82.54,82.523492,83.00568,81.60864000000002,3.5403980357423377,4.2446,"['be_50%@3037', {'type': 'tp1', 'contracts': np.float64(2.1242388214454024), 'price': np.float64(81.60864000000002), 'pnl': np.float64(1.943364134276931), 'comm': np.float64(0.0866781206266811)}, {'type': 'tp2', 'contracts': np.float64(1.4161592142969353), 'price': np.float64(80.69378800000004), 'pnl': np.float64(2.591152179035909), 'comm': np.float64(0.05713762570636176)}]",tp2_reached,Fib=0.0-0.25 Sig=SHORT Phase=compressing CI=51.18447627130237 WR=-41.66666666666634 ST=bullish Veto=False,100
SOLUSDT,2026-05-23T07:00:00+00:00,bearish,84.23,84.213154,84.65898,83.37204000000001,3.991705489117981,4.3667,"['be_50%@18813', {'type': 'tp1', 'contracts': np.float64(2.3950232934707882), 'price': np.float64(83.37204000000001), 'pnl': np.float64(2.0144876224643653), 'comm': np.float64(0.09983898891208917)}, {'type': 'tp2', 'contracts': np.float64(1.5966821956471924), 'price': np.float64(82.53092600000002), 'pnl': np.float64(2.6859834966191545), 'comm': np.float64(0.065887830067238)}]",tp2_reached,Fib=0.25-0.5 Sig=SHORT Phase=expanding CI=50.616490294285924 WR=-83.87096774193579 ST=bearish Veto=False,100
SOLUSDT,2026-06-07T22:00:00+00:00,bullish,64.67,64.682934,63.51272,66.98456,1.5362417300958229,2.0211,"['be_50%@23306', {'type': 'tp1', 'contracts': np.float64(0.9217450380574936), 'price': np.float64(66.98456), 'pnl': np.float64(2.1215123449641156), 'comm': np.float64(0.03087134290323223)}, {'type': 'sl_rem', 'contracts': np.float64(0.6144966920383292), 'price': np.float64(64.682934), 'pnl': np.float64(0.0), 'comm': np.float64(0.019873724487166792)}]",tp1_partial_then_sl,Fib=0.0-0.25 Sig=LONG Phase=trending CI=31.795485598842944 WR=-41.93548387096826 ST=bullish Veto=False,100
SOLUSDT,2026-06-08T11:00:00+00:00,bullish,66.08,66.093216,65.3191,67.60179999999998,1.1881837783550069,-0.0785,"['be_50%@23464', {'type': 'sl_full', 'contracts': np.float64(1.1881837783550069), 'price': np.float64(66.093216), 'pnl': np.float64(0.0), 'comm': np.float64(0.039265443555256796)}]",full_sl,Fib=0.0-0.25 Sig=LONG Phase=trending CI=57.87112770624183 WR=-59.090909090909484 ST=bullish Veto=False,90
XRPUSDT,2026-04-06T19:00:00+00:00,bearish,1.3397,1.339432,1.3549044000000001,1.3123320799999996,118.84718309133845,1.7742,"['be_50%@5458', {'type': 'tp1', 'contracts': np.float64(71.30830985480307), 'price': np.float64(1.3123320799999996), 'pnl': np.float64(1.9324537708989835), 'comm': np.float64(0.046790091296519086)}, {'type': 'sl_rem', 'contracts': np.float64(47.53887323653538), 'price': np.float64(1.3394320599999998), 'pnl': np.float64(0.0), 'comm': np.float64(0.03183754545464572)}]",tp1_partial_then_sl,Fib=0.25-0.5 Sig=SHORT Phase=compressing CI=46.241045203823894 WR=-54.09836065573908 ST=bullish Veto=False,95
XRPUSDT,2026-04-21T04:00:00+00:00,bullish,1.4259,1.426185,1.416661,1.4425302,198.46450856712218,1.6623,"['be_50%@9582', {'type': 'tp1', 'contracts': np.float64(119.0787051402733), 'price': np.float64(1.4425302), 'pnl': np.float64(1.9463438170918883), 'comm': np.float64(0.08588731417086973)}, {'type': 'sl_rem', 'contracts': np.float64(79.38580342684888), 'price': np.float64(1.4261851799999998), 'pnl': np.float64(0.0), 'comm': np.float64(0.05660942817488254)}]",tp1_partial_then_sl,Fib=0.5-0.75 Sig=LONG Phase=compressing CI=47.64431085425945 WR=-0.0 ST=bullish Veto=False,100
XRPUSDT,2026-04-21T05:00:00+00:00,bullish,1.4287,1.428986,1.416661,1.4503702000000003,154.37731100724767,-0.2206,"['be_50%@9583', {'type': 'sl_full', 'contracts': np.float64(154.37731100724767), 'price': np.float64(1.4289857400000001), 'pnl': np.float64(0.0), 'comm': np.float64(0.11030148800445098)}]",full_sl,Fib=0.5-0.75 Sig=LONG Phase=compressing CI=41.99331840696057 WR=-9.433962264149757 ST=bullish Veto=False,100
XRPUSDT,2026-04-21T22:00:00+00:00,bullish,1.4211,1.421384,1.4087768,1.44328176,150.54851033628807,1.763,"['be_50%@9789', {'type': 'tp1', 'contracts': np.float64(90.32910620177284), 'price': np.float64(1.44328176), 'pnl': np.float64(1.9779852162175784), 'comm': np.float64(0.06518517568906082)}, {'type': 'sl_rem', 'contracts': np.float64(60.21940413451523), 'price': np.float64(1.42138422), 'pnl': np.float64(0.0), 'comm': np.float64(0.042797455387301356)}]",tp1_partial_then_sl,Fib=0.5-0.75 Sig=LONG Phase=compressing CI=54.03939627652205 WR=-86.53846153846268 ST=bearish Veto=False,100
XRPUSDT,2026-04-21T23:00:00+00:00,bullish,1.4246,1.424885,1.4138666,1.4439201200000003,175.3111350342125,1.7515,"['be_50%@9818', {'type': 'tp1', 'contracts': np.float64(105.1866810205275), 'price': np.float64(1.4439201200000003), 'pnl': np.float64(2.0022495105619718), 'comm': np.float64(0.07594058254078091)}, {'type': 'sl_rem', 'contracts': np.float64(70.124454013685), 'price': np.float64(1.42488492), 'pnl': np.float64(0.0), 'comm': np.float64(0.04995963852366661)}]",tp1_partial_then_sl,Fib=0.5-0.75 Sig=LONG Phase=compressing CI=49.64632646962058 WR=-16.84210526315632 ST=bearish Veto=False,100
XRPUSDT,2026-05-01T11:00:00+00:00,bullish,1.3772,1.377475,1.3688567999999999,1.39221776,114.34199645663759,2.2012,"['be_50%@12533', {'type': 'tp1', 'contracts': np.float64(68.60519787398255), 'price': np.float64(1.39221776), 'pnl': np.float64(1.0113997807215762), 'comm': np.float64(0.04775668745423638)}, {'type': 'tp2', 'contracts': np.float64(45.73679858265504), 'price': np.float64(1.4069600800000002), 'pnl': np.float64(1.3485330409621021), 'comm': np.float64(0.032174924896398116)}]",tp2_reached,Fib=0.25-0.5 Sig=LONG Phase=compressing CI=47.171491619377846 WR=-0.0 ST=bullish Veto=False,90
XRPUSDT,2026-05-16T23:00:00+00:00,bearish,1.4132,1.412917,1.4197338000000002,1.4014391599999998,297.06679621734935,-0.4197,"['be_50%@17011', {'type': 'sl_full', 'contracts': np.float64(297.06679621734935), 'price': np.float64(1.41291736), 'pnl': np.float64(0.0), 'comm': np.float64(0.2098654167275376)}]",full_sl,Fib=0.25-0.5 Sig=SHORT Phase=compressing CI=49.18429544550404 WR=-67.56756756756546 ST=bearish Veto=False,100
XRPUSDT,2026-05-24T13:00:00+00:00,bearish,1.3628,1.362527,1.3725395999999999,1.3452687200000002,198.64050583424006,1.7873,"['be_50%@19178', {'type': 'tp1', 'contracts': np.float64(119.18430350054403), 'price': np.float64(1.3452687200000002), 'pnl': np.float64(2.05696852251089), 'comm': np.float64(0.08016745770713421)}, {'type': 'sl_rem', 'contracts': np.float64(79.45620233369603), 'price': np.float64(1.36252744), 'pnl': np.float64(0.0), 'comm': np.float64(0.05413062797892644)}]",tp1_partial_then_sl,Fib=0.25-0.5 Sig=SHORT Phase=compressing CI=56.24261181535143 WR=-77.52808988764019 ST=bullish Veto=False,95
XRPUSDT,2026-05-25T16:00:00+00:00,bearish,1.3587,1.358428,1.3684314,1.3411834800000002,134.37526828111805,1.2085,"['be_50%@19566', {'type': 'tp1', 'contracts': np.float64(80.62516096867083), 'price': np.float64(1.3411834800000002), 'pnl': np.float64(1.390363163369294), 'comm': np.float64(0.054066566981761065)}, {'type': 'sl_rem', 'contracts': np.float64(53.75010731244723), 'price': np.float64(1.35842826), 'pnl': np.float64(0.0), 'comm': np.float64(0.03650783237563048)}]",tp1_partial_then_sl,Fib=0.25-0.5 Sig=SHORT Phase=compressing CI=53.73000764497451 WR=-86.4197530864185 ST=bullish Veto=False,80
XRPUSDT,2026-05-25T19:00:00+00:00,bearish,1.3569,1.356629,1.3667280000000002,1.3392095999999998,134.28415522808,1.222,"['be_50%@19566', {'type': 'tp1', 'contracts': np.float64(80.570493136848), 'price': np.float64(1.3392095999999998), 'pnl': np.float64(1.403459031360632), 'comm': np.float64(0.053950388942800465)}, {'type': 'sl_rem', 'contracts': np.float64(53.71366209123201), 'price': np.float64(1.35662862), 'pnl': np.float64(0.0), 'comm': np.float64(0.036434745638987194)}]",tp1_partial_then_sl,Fib=0.25-0.5 Sig=SHORT Phase=compressing CI=53.012618225359795 WR=-90.14084507042347 ST=bullish Veto=False,80
XRPUSDT,2026-05-31T06:00:00+00:00,bearish,1.3416,1.341332,1.3494936,1.3273915199999997,126.5548559505546,-0.1698,"['be_50%@21112', {'type': 'sl_full', 'contracts': np.float64(126.5548559505546), 'price': np.float64(1.34133168), 'pnl': np.float64(0.0), 'comm': np.float64(0.0848760187721577)}]",full_sl,Fib=0.25-0.5 Sig=SHORT Phase=compressing CI=52.289320052111606 WR=-94.44444444444512 ST=bullish Veto=False,100
