symbol,entry_time,direction,entry,sl_original,tp1,tp2,exit_price,pnl,contracts,close_type,tp1_hit,tp2_hit,half_tp1_hit
BTCUSDT,2026-05-29T03:55:00+00:00,bearish,73301.52,73793.97335999999,72562.83996000003,71824.15992000005,73793.97335999999,-1.7108336189081157,0.003474102844801725,SL,False,False,False
ETHUSDT,2026-05-06T01:10:00+00:00,bullish,2368.86,2350.29,2402.2860000000005,2435.712000000001,2368.86,1.8199848037944586,0.09074696363082818,TP1_partial_then_BE,True,False,True
ETHUSDT,2026-05-06T01:15:00+00:00,bullish,2372.54,2350.29,2412.59,2452.64,2372.54,1.849468557615932,0.07696498367107464,TP1_partial_then_BE,True,False,True
ETHUSDT,2026-05-06T01:20:00+00:00,bullish,2374.12,2350.29,2417.0139999999997,2459.9079999999994,2374.12,1.879429948249298,0.07302613995155918,TP1_partial_then_BE,True,False,True
ETHUSDT,2026-05-06T01:30:00+00:00,bullish,2372.98,2350.29,2413.822,2454.664,2372.98,1.2732511422739603,0.05195840647184913,TP1_partial_then_BE,True,False,True
ETHUSDT,2026-05-06T01:35:00+00:00,bullish,2371.02,2350.29,2408.334,2445.648,2371.02,1.2870022546105127,0.057485226930487125,TP1_partial_then_BE,True,False,True
ETHUSDT,2026-05-06T01:45:00+00:00,bullish,2372.51,2350.29,2412.5060000000008,2452.5020000000013,2372.51,1.3009018789603157,0.05420966592327141,TP1_partial_then_BE,True,False,True
ETHUSDT,2026-05-06T01:50:00+00:00,bullish,2374.52,2350.29,2418.134,2461.748,2374.52,1.3149516192530843,0.050249599488431974,TP1_partial_then_BE,True,False,True
ETHUSDT,2026-05-06T01:55:00+00:00,bullish,2373.19,2350.29,2414.4100000000003,2455.6300000000006,2373.19,1.3291530967410203,0.053742240689835526,TP1_partial_then_BE,True,False,True
ETHUSDT,2026-05-17T20:15:00+00:00,bearish,2188.06,2198.06736,2170.0467519999997,2152.0335039999995,2152.0335039999995,4.702277825650395,0.18646109105168207,TP1_partial_then_TP2,True,True,True
ETHUSDT,2026-05-17T20:25:00+00:00,bearish,2188.92,2198.06736,2172.454752,2155.989504,2155.989504,4.880023927459984,0.21170233067592645,TP1_partial_then_TP2,True,True,True
ETHUSDT,2026-05-22T04:30:00+00:00,bearish,2137.86,2145.67278,2123.7969960000005,2109.733992000001,2137.86,2.170495213679132,0.257234657886654,TP1_partial_then_BE,True,False,True
ETHUSDT,2026-05-22T04:35:00+00:00,bearish,2134.95,2145.67278,2115.648996,2096.3479919999995,2134.95,0.0,0.19046135597753608,BE_after_50%,False,False,True
ETHUSDT,2026-05-22T04:40:00+00:00,bearish,2134.48,2145.67278,2114.332996,2094.1859920000006,2134.48,0.0,0.18246362553796652,BE_after_50%,False,False,True
ETHUSDT,2026-05-22T04:45:00+00:00,bearish,2132.82,2145.67278,2109.684996000001,2086.549992000001,2132.82,0.0,0.1588975473515349,BE_after_50%,False,False,True
ETHUSDT,2026-05-22T04:50:00+00:00,bearish,2133.76,2145.67278,2112.316996000001,2090.8739920000016,2133.76,0.0,0.1714356530254797,BE_after_50%,False,False,True
ETHUSDT,2026-05-22T04:55:00+00:00,bearish,2134.0,2145.67278,2112.988996,2091.9779920000005,2134.0,0.0,0.17496048230574351,BE_after_50%,False,False,True
ETHUSDT,2026-05-22T05:30:00+00:00,bearish,2131.36,2145.62268,2105.6871760000004,2080.0143520000006,2080.0143520000006,5.1465335509950325,0.14319014509537065,TP1_partial_then_TP2,True,True,True
ETHUSDT,2026-05-22T05:35:00+00:00,bearish,2131.12,2145.62268,2105.015176,2078.910352,2078.910352,5.3410725192226085,0.1461435556678995,TP1_partial_then_TP2,True,True,True
ETHUSDT,2026-05-22T05:45:00+00:00,bearish,2133.17,2145.62268,2110.755176,2088.3403520000006,2133.17,0.0,0.1766358173262384,BE_after_50%,False,False,True
ETHUSDT,2026-05-22T05:50:00+00:00,bearish,2132.42,2145.62268,2108.655176,2084.8903520000003,2132.42,0.0,0.1666017285658746,BE_after_50%,False,False,True
ETHUSDT,2026-05-22T05:55:00+00:00,bearish,2129.21,2145.62268,2099.6671760000004,2070.1243520000003,2129.21,0.0,0.13401768082373458,BE_after_50%,False,False,True
ETHUSDT,2026-05-24T15:30:00+00:00,bearish,2096.2,2125.11174,2044.1588679999998,1992.1177359999997,2096.2,0.0,0.07607945110540146,BE_after_50%,False,False,True
ETHUSDT,2026-05-24T15:35:00+00:00,bearish,2096.0,2125.11174,2043.5988680000003,1991.1977360000005,2096.0,0.0,0.07555677914484304,BE_after_50%,False,False,True
ETHUSDT,2026-05-24T15:40:00+00:00,bearish,2095.89,2125.11174,2043.290868,1990.691736,2095.89,0.0,0.07527235919907861,BE_after_50%,False,False,True
ETHUSDT,2026-05-24T15:45:00+00:00,bearish,2097.51,2124.8612399999997,2048.2777680000013,1999.045536000002,2097.51,0.0,0.08042009465392136,BE_after_50%,False,False,True
ETHUSDT,2026-05-24T15:50:00+00:00,bearish,2096.6,2124.8612399999997,2045.7297680000001,1994.8595360000006,2096.6,0.0,0.07783060154834304,BE_after_50%,False,False,True
ETHUSDT,2026-05-24T15:55:00+00:00,bearish,2095.84,2124.8612399999997,2043.601768000001,1991.3635360000017,2095.84,0.0,0.07579239583498541,BE_after_50%,False,False,True
SOLUSDT,2026-05-17T20:15:00+00:00,bearish,86.67,87.11388,85.78224000000002,84.89448000000003,84.89448000000003,6.158850067165825,4.955369265797322,TP1_partial_then_TP2,True,True,True
SOLUSDT,2026-05-17T20:20:00+00:00,bearish,86.66,87.11388,85.75224,84.84448,84.84448,6.41752176998679,5.049731340243186,TP1_partial_then_TP2,True,True,True
SOLUSDT,2026-05-17T20:25:00+00:00,bearish,86.67,87.11388,85.78224000000002,84.89448000000003,84.89448000000003,6.687057684326236,5.380361555509164,TP1_partial_then_TP2,True,True,True
SOLUSDT,2026-05-23T07:00:00+00:00,bearish,84.23,84.65898,83.37204000000001,82.51408000000002,82.51408000000002,6.967914107067935,5.801064740837073,TP1_partial_then_TP2,True,True,True
