symbol,entry_time,direction,entry_signal,entry_real,sl_original,tp1,contracts,pnl_neto,exit_events,exit_type,explanation,score
LTCUSDT,2026-05-20T02:00:00+00:00,bearish,53.66,53.649268,54.625879999999995,52.018004,1.4824676081743746,-1.5281,"[{'type': 'sl_full', 'contracts': np.float64(1.4824676081743746), 'price': np.float64(54.625879999999995), 'pnl': np.float64(-1.447795655754386), 'comm': np.float64(0.0404905488340102)}]",full_sl,Fib=0.0-0.25 Sig=SHORT Phase=compressing CI=37.97763986981065 WR=-54.320987654321435 ST=bearish Veto=False,100
LTCUSDT,2026-05-20T03:00:00+00:00,bearish,53.66,53.649268,54.208200000000005,52.728059999999985,2.570166035296471,-1.5752,"[{'type': 'sl_full', 'contracts': np.float64(2.570166035296471), 'price': 54.208200000000005, 'pnl': np.float64(-1.4365480424403418), 'comm': np.float64(0.0696620372372791)}]",full_sl,Fib=0.0-0.25 Sig=SHORT Phase=compressing CI=39.26954857373972 WR=-55.00000000000249 ST=bearish Veto=False,100
LTCUSDT,2026-06-05T21:00:00+00:00,bullish,43.8,43.80876,43.011599999999994,45.140280000000004,0.5857169427135727,-0.4923,"[{'type': 'sl_full', 'contracts': np.float64(0.5857169427135727), 'price': np.float64(43.011599999999994), 'pnl': np.float64(-0.46691011805355465), 'comm': np.float64(0.01259631142660955)}]",full_sl,Fib=0.0-0.25 Sig=LONG Phase=trending CI=45.27526959548303 WR=-7.352941176470696 ST=bullish Veto=False,80
DOGEUSDT,2026-04-04T08:00:00+00:00,bearish,0.09128,0.091262,0.09169302,0.09045396,2224.190386206729,-0.203,"['be_50%@4730', {'type': 'sl_full', 'contracts': np.float64(2224.190386206729), 'price': np.float64(0.091261744), 'pnl': np.float64(0.0), 'comm': np.float64(0.10149174681662981)}]",full_sl,Fib=0.25-0.5 Sig=SHORT Phase=compressing CI=59.72738164253214 WR=-68.74999999999919 ST=bearish Veto=False,86
DOGEUSDT,2026-04-04T09:00:00+00:00,bearish,0.09109,0.091072,0.09169302,0.08988396000000001,2280.0370096550123,-1.6248,"[{'type': 'sl_full', 'contracts': np.float64(2280.0370096550123), 'price': 0.09169302, 'pnl': np.float64(-1.416445631804052), 'comm': np.float64(0.10453173956351862)}]",full_sl,Fib=0.25-0.5 Sig=SHORT Phase=compressing CI=55.32421819643917 WR=-84.21052631578851 ST=bearish Veto=False,96
DOGEUSDT,2026-05-19T10:00:00+00:00,bearish,0.10421,0.104189,0.1054605,0.101709,1079.9967247024601,-0.1125,"['be_50%@17746', {'type': 'sl_full', 'contracts': np.float64(1079.9967247024601), 'price': np.float64(0.104189158), 'pnl': np.float64(0.0), 'comm': np.float64(0.05626197469475356)}]",full_sl,Fib=0.5-0.75 Sig=SHORT Phase=compressing CI=53.52713082755222 WR=-52.08333333333324 ST=bearish Veto=False,100
DOGEUSDT,2026-05-19T11:00:00+00:00,bearish,0.10419,0.104169,0.10492944,0.10271112000000002,1824.148064751158,-0.19,"['be_50%@17739', {'type': 'sl_full', 'contracts': np.float64(1824.148064751158), 'price': np.float64(0.10416916200000001), 'pnl': np.float64(0.0), 'comm': np.float64(0.09500998763452495)}]",full_sl,Fib=0.25-0.5 Sig=SHORT Phase=compressing CI=48.40975399233473 WR=-32.183908045975855 ST=bearish Veto=False,100
DOGEUSDT,2026-05-22T02:00:00+00:00,bullish,0.10626,0.106281,0.10482992,0.10912016,470.60225489851945,-0.7327,"[{'type': 'sl_full', 'contracts': np.float64(470.60225489851945), 'price': 0.10482992, 'pnl': np.float64(-0.6830001118063779), 'comm': np.float64(0.024666598366415698)}]",full_sl,Fib=0.5-0.75 Sig=LONG Phase=compressing CI=50.30963829222284 WR=-0.813008130082108 ST=bullish Veto=False,90
DOGEUSDT,2026-05-24T15:00:00+00:00,bearish,0.10222,0.1022,0.1035066,0.09964680000000001,1037.6244545636748,-0.106,"['be_50%@19266', {'type': 'sl_full', 'contracts': np.float64(1037.6244545636748), 'price': np.float64(0.10219955600000001), 'pnl': np.float64(0.0), 'comm': np.float64(0.05302237927557488)}]",full_sl,Fib=0.25-0.5 Sig=SHORT Phase=compressing CI=36.194741066926575 WR=-41.01123595505579 ST=bearish Veto=False,100
DOGEUSDT,2026-05-25T00:00:00+00:00,bearish,0.10236,0.10234,0.10282524,0.10142952000000002,2866.084068144139,-1.6861,"[{'type': 'sl_full', 'contracts': np.float64(2866.084068144139), 'price': 0.10282524, 'pnl': np.float64(-1.3920914249063843), 'comm': np.float64(0.14735289108354874)}]",full_sl,Fib=0.25-0.5 Sig=SHORT Phase=compressing CI=45.785712662054685 WR=-19.04761904761842 ST=bullish Veto=False,95
